2.00,16,1,261.96,2,0,41.9136
2.00,16,1,731.94,3,0,219.582
2.00,4,2,14.62,2,0,6.8714
1.00,9,1,957.5775,5,0.45,-383.031
1.00,9,2,22.368,2,0.2,2.5164
0.00,4,1,48.86,7,0,14.1694
0.00,4,2,7.28,4,0,1.9656
0.00,4,3,907.152,6,0.2,90.7152
0.00,4,2,18.504,3,0.2,5.7825
0.00,4,2,114.9,5,0,34.47
0.00,4,1,1706.184,9,0.2,85.3092
0.00,4,3,911.424,4,0.2,68.3568
3.00,32,2,15.552,3,0.2,5.4432
2.00,46,2,407.976,3,0.2,132.5922
1.00,42,2,68.81,5,0.8,-123.858
1.00,42,2,2.544,3,0.8,-3.816
0.00,48,2,665.88,6,0,13.3176
0.00,43,2,55.5,2,0,9.99
0.00,4,2,8.56,2,0,2.4824
0.00,4,3,213.48,3,0.2,16.011
0.00,4,2,22.72,4,0.2,7.384
2.00,26,2,19.46,7,0,5.0596
2.00,26,2,60.34,7,0,15.6884
3.00,37,1,71.372,2,0.3,-1.0196
1.00,43,1,1044.63,3,0,240.2649
2.00,4,2,11.648,2,0.2,4.2224
2.00,4,3,90.57,3,0,11.7741
1.00,37,1,3083.43,7,0.5,-1665.0522
1.00,37,2,9.618,2,0.7,-7.0532
1.00,37,1,124.2,3,0.2,15.525
1.00,37,2,3.264,2,0.2,1.1016
1.00,37,2,86.304,6,0.2,9.7092
1.00,37,2,6.858,6,0.7,-5.715
1.00,37,2,15.76,2,0.2,3.546
3.00,42,2,29.472,3,0.2,9.9468
2.00,42,3,1097.544,7,0.2,123.4737
2.00,42,1,190.92,5,0.6,-147.963
1.00,42,2,113.328,9,0.2,35.415
1.00,42,1,532.3992,3,0.32,-46.9764
1.00,42,1,212.058,3,0.3,-15.147
1.00,42,3,371.168,4,0.2,41.7564
3.00,12,3,147.168,4,0.2,16.5564
2.00,4,2,77.88,2,0,3.894
3.00,9,2,95.616,2,0.2,9.5616
2.00,22,3,45.98,2,0,19.7714
2.00,22,2,17.46,2,0,8.2062
0.00,21,2,211.96,4,0,8.4784
2.00,7,3,45,3,0,4.95
2.00,7,3,21.8,2,0,6.104
1.00,13,2,38.22,6,0,17.9634
1.00,13,2,75.18,6,0,35.3346
1.00,13,1,6.16,2,0,2.9568
1.00,13,1,89.99,1,0,17.0981
2.00,31,2,15.26,7,0,6.2566
2.00,31,3,1029.95,5,0,298.6855
2.00,31,2,208.56,6,0,52.14
2.00,31,2,32.4,5,0,15.552
2.00,31,1,319.41,5,0.1,7.098
2.00,31,2,14.56,2,0,6.9888
2.00,31,3,30,2,0,3.3
2.00,31,2,48.48,4,0.2,16.362
2.00,31,2,1.68,1,0,0.84
1.00,4,3,13.98,2,0,6.1512
1.00,4,2,25.824,6,0.2,9.3612
1.00,4,2,146.73,3,0,68.9631
1.00,4,1,79.76,4,0,22.3328
1.00,12,1,213.115,5,0.3,-15.2225
0.00,2,2,1113.024,8,0.2,111.3024
0.00,2,3,167.968,4,0.2,62.988
2.00,45,2,75.88,2,0,35.6636
2.00,31,2,4.616,1,0.2,1.731
3.00,21,2,19.05,3,0,8.763
1.00,41,1,831.936,8,0.2,-114.3912
1.00,41,1,97.04,2,0.2,1.213
1.00,41,2,72.784,1,0.2,-18.196
3.00,42,2,1.248,3,0.8,-1.9344
3.00,42,1,9.708,3,0.6,-5.8248
3.00,42,2,27.24,3,0.2,2.724
0.00,42,1,19.3,5,0.6,-14.475
2.00,1,2,208.16,1,0,56.2032
2.00,1,2,16.74,3,0,8.0352
0.00,4,2,14.9,5,0,4.172
0.00,4,2,21.39,1,0,6.2031
1.00,32,2,200.984,7,0.2,62.8075
3.00,12,2,230.376,3,0.2,-48.9549
3.00,39,1,301.96,2,0,33.2156
3.00,22,3,19.99,1,0,6.7966
3.00,22,2,6.16,2,0,2.9568
2.00,42,2,158.368,7,0.2,13.8572
2.00,4,2,20.1,3,0,6.633
2.00,4,3,73.584,2,0.2,8.2782
2.00,4,2,6.48,1,0,3.1104
1.00,22,2,12.96,2,0,6.2208
1.00,22,1,53.34,3,0,16.5354
1.00,22,2,32.96,2,0,16.1504
3.00,36,2,5.682,1,0.7,-3.788
3.00,31,1,96.53,7,0,40.5426
3.00,4,2,51.312,3,0.2,17.9592
2.00,22,2,77.88,6,0,22.5852
2.00,12,2,64.624,7,0.2,22.6184
2.00,12,3,95.976,3,0.2,-10.7973
2.00,12,2,1.788,3,0.8,-3.0396
2.00,22,2,23.92,4,0,11.7208
1.00,5,3,238.896,6,0.2,-26.8758
1.00,5,1,102.36,3,0.2,-3.8385
1.00,5,2,36.882,3,0.7,-25.8174
3.00,32,3,74.112,8,0.2,17.6016
3.00,32,3,27.992,1,0.2,2.0994
3.00,32,2,3.304,1,0.2,1.0738
1.00,12,3,339.96,5,0.2,67.992
3.00,31,1,41.96,2,0,10.9096
2.00,14,2,75.96,2,0,22.788
2.00,14,2,27.24,6,0,13.3476
0.00,34,2,40.096,14,0.2,14.5348
0.00,34,2,4.72,2,0.2,1.652
0.00,34,2,23.976,3,0.2,7.4925
0.00,34,2,130.464,6,0.2,44.0316
1.00,46,1,787.53,3,0,165.3813
1.00,41,2,157.794,1,0.7,-115.7156
2.00,7,1,47.04,3,0,18.3456
2.00,7,2,30.84,4,0,13.878
2.00,7,2,226.56,6,0,63.4368
2.00,7,2,115.02,9,0,51.759
2.00,7,3,68.04,7,0,19.7316
0.00,42,1,600.558,3,0.3,-8.5794
0.00,12,1,617.7,6,0.5,-407.682
3.00,2,2,2.388,2,0.7,-1.8308
3.00,2,2,243.992,7,0.2,30.499
2.00,4,1,81.424,2,0.2,-9.1602
2.00,4,1,238.56,3,0,26.2416
3.00,34,3,59.97,5,0.4,-11.994
3.00,34,2,78.304,2,0.2,29.364
3.00,34,2,21.456,9,0.2,6.9732
2.00,4,2,20.04,3,0,9.6192
2.00,4,2,35.44,1,0,16.6568
2.00,4,2,11.52,4,0,3.456
2.00,4,2,4.02,2,0,1.9698
2.00,4,2,76.176,3,0.2,26.6616
2.00,4,2,65.88,6,0,18.4464
2.00,4,1,43.12,14,0,20.6976
2.00,37,1,82.8,2,0.2,10.35
3.00,4,2,8.82,3,0,2.3814
3.00,4,2,10.86,3,0,5.1042
3.00,4,2,143.7,3,0,68.976
3.00,24,2,839.43,3,0,218.2518
1.00,4,2,671.93,7,0,20.1579
0.00,34,1,93.888,4,0.2,12.9096
2.00,48,3,384.45,11,0,103.8015
2.00,48,3,149.97,3,0,5.9988
2.00,48,1,1951.84,8,0,585.552
2.00,48,2,171.55,5,0,80.6285
2.00,2,2,157.92,5,0.2,17.766
2.00,2,3,203.184,2,0.2,15.2388
1.00,4,2,58.38,7,0,26.271
1.00,4,2,105.52,4,0,48.5392
1.00,4,2,80.88,6,0,21.0288
1.00,46,2,6.63,3,0,1.7901
0.00,46,1,457.568,2,0.2,51.4764
2.00,35,2,14.62,2,0,6.8714
2.00,35,3,944.93,7,0,236.2325
2.00,4,2,5.98,1,0,2.691
1.00,37,3,54.384,2,0.2,1.3596
2.00,30,2,28.4,5,0,13.348
2.00,46,2,27.68,2,0.2,9.688
0.00,42,2,9.936,3,0.2,2.7324
0.00,42,3,8159.952,8,0.4,-1359.992
0.00,42,2,275.928,3,0.2,-58.6347
0.00,42,1,1740.06,9,0.3,-24.858
0.00,42,2,32.064,6,0.2,6.8136
0.00,42,2,177.98,5,0.8,-453.849
0.00,42,3,143.976,3,0.2,8.9985
0.00,4,2,20.94,3,0,9.8418
0.00,4,2,110.96,2,0,53.2608
0.00,4,1,340.144,7,0.2,21.259
0.00,12,2,52.448,2,0.8,-131.12
0.00,12,2,20.16,4,0.2,6.552
3.00,42,2,97.264,4,0.8,-243.16
1.00,34,1,396.802,7,0.3,-11.3372
1.00,34,2,15.88,5,0.2,-3.7715
1.00,31,2,3.28,1,0,1.4104
0.00,12,2,24.816,2,0.2,1.8612
0.00,12,3,408.744,7,0.2,76.6395
0.00,17,3,503.96,4,0,131.0296
0.00,17,3,149.95,5,0,41.986
0.00,17,3,29,2,0,7.25
2.00,6,2,7.16,2,0,3.4368
0.00,4,3,176.8,8,0,22.984
2.00,42,2,37.224,3,0.2,3.7224
2.00,42,2,20.016,3,0.2,6.255
1.00,31,1,899.136,4,0.2,112.392
1.00,31,3,71.76,6,0,20.0928
1.00,31,2,51.84,8,0,24.8832
1.00,31,1,626.352,3,0.2,46.9764
1.00,31,2,19.9,5,0,6.567
1.00,4,2,14.28,7,0,6.7116
0.00,34,2,7.408,2,0.2,1.2038
0.00,34,2,6.048,3,0.2,1.5876
3.00,29,2,46.26,3,0,12.0276
3.00,37,2,2.946,2,0.7,-2.2586
3.00,37,2,16.056,3,0.2,5.8203
3.00,34,2,21.744,3,0.2,6.795
0.00,5,1,218.75,2,0.5,-161.875
0.00,5,2,2.6,1,0.2,0.2925
3.00,42,2,66.284,2,0.8,-178.9668
3.00,41,1,35.168,7,0.2,9.6712
3.00,4,3,444.768,4,0.2,44.4768
3.00,21,2,83.92,4,0,5.8744
3.00,21,3,131.98,2,0,35.6346
3.00,21,2,15.92,4,0,7.4824
3.00,21,2,52.29,9,0,16.2099
3.00,21,2,91.99,1,0,3.6796
1.00,42,3,20.8,2,0.2,6.5
1.00,34,2,23.68,2,0.2,8.88
1.00,34,1,452.45,5,0.5,-244.323
1.00,34,3,62.982,3,0.4,-14.6958
1.00,34,3,1188,9,0.7,-950.4
